CID,用户名,评论时间,评论地点,评论内容,评论点赞数,评论数量
7444053489305092890,张老五,2024-12-03 13:29:32,河南,这么说，王莽革新才是仁政[赞]，刘秀复汉开了倒车！,46,3
7442880221303292731,Alyssa,2024-11-30 09:36:38,河北,因为人性本恶，所以单纯的仁政不得施行，必须一手仁，一手狠！,21,1
7445091667873465146,都市圈,2024-12-06 08:38:12,河北,人之初到底是性本善[尬笑]还是性本恶？？？？？？？,41,48
7441596476414903051,笨  私享影咖,2024-11-26 22:35:01,陕西,因为仁政从来没有，具体化，系统化。,136,10
7444771339145069331,OneWay,2024-12-05 11:55:08,江苏,怪不得胖东来会成为资本家的眼中钉[泣不成声],303,7
7441856510466065162,兰柯伊孟,2024-11-27 15:24:05,湖北,仁政是与上层社会的利益相悖的，所以永远不会成功。,160,3
7449001434031309568,李子木,2024-12-16 21:30:03,广东,上层是由下层跨越而来的，砍掉上层马上能从下层形成。但砍掉下层后上层必垮,49,0
7442871454553129788,大叔又菜又爱玩,2024-11-30 09:02:37,湖南,百姓没有发言渠道而已,19,0
7442240127197807360,wengshaokun,2024-11-28 16:12:45,浙江,本质上就是权力的来源问题。,112,1
7441589184256770867,石头,2024-11-26 22:06:42,广东,仁政，也要讲究个天时地利人和！,10,1
7441745637157094153,蘭小志的志,2024-11-27 08:13:55,广东,看懂了让子单飞你就明白了，普通民众你送枪给他，他不敢要。但是你要是把白花花的银子送给他，然后被收缴了，怒值达到了极点，就会自动的把枪捡起来。,65,0
7443639884143297295,AAAAA🐔🐔🐔批发/,2024-12-02 10:44:32,福建,在历史上能够群雄割据统一的那一派势力有的不一定是雄才大略，他们只是更擅长压榨老百姓,25,0
7443973482764354315,🦋曙光轰炸机🦋,2024-12-03 08:19:09,湖北,朝代更替但文明永续，这靠的就是仁政，仁政不单单贯彻的一个仁，更是意识上的善,9,1
7462968353620263731,>jun,2025-01-23 12:49:49,广东,老美实行的就是仁政,2,0
